Quantity,Package,Description,Designator,Comment,Manufacturer,Manf. Part Number,Supplier,Supplier Link,Supplier Part Number
"2","0603","RES 680R 1% 0603","R104, R105","680R","Vishay","CRCW0603680RFKEA","Mouser","http://www.mouser.com/ProductDetail/Vishay/CRCW0603680RFKEA/?qs=sGAEpiMZZMu61qfTUdNhG7Gzy2l2IcrzddXesQEh6pk%3d","71-CRCW0603-680-E3"
"7","0603","RES 100k 5% 0603","R106, R107, R108, R109, R110, R111, R112","100k","Vishay","RCA0603100KJNEC","Mouser","http://www.mouser.com/ProductDetail/Vishay/RCA0603100KJNEC/?qs=%2fha2pyFadug9vt83A1byEVRrpa7dDrydVvY1V5XwRjjQMC1POmdAww%3d%3d","71-RCA0603100KJNEC"
"5","0603","RES 0R 1% 0603","R114, R116, R117, R118, R119","0R","Panasonic","ERJ-3GEY0R00V","Mouser","http://www.mouser.com/ProductDetail/Panasonic/ERJ-3GEY0R00V/?qs=%2fha2pyFadugUp37UjO2jw1knUa4j31ii7kR9S8ONBLJiOo%252bv0q9gtA%3d%3d","667-ERJ-3GEY0R00V"
"1","0603","RES 1k 1% 0603","R115","1k","Vishay","CRCW06031K00FKEA","Mouser","http://www.mouser.com/ProductDetail/Vishay/CRCW06031K00FKEA/?qs=sGAEpiMZZMtlubZbdhIBIIDYYWLC5QWgFXAApV6iVKs%3d","71-CRCW0603-1.0K-E3"
"1","SMD/SMT","SWITCH, TACTILE, SPST-NO, 50mA, SMD","SW101","RESET","C&K","KMR641NG","Mouser","http://www.mouser.com/ProductDetail/CK-Components/KMR641NG-ULC-LFS/?qs=%2fha2pyFaduh0p7wT%2fIpKGZcBAQiO87MNxooxrDdNjhM%3d","611-KMR641NGULCLFS"
"1","SMD/SMT","SWITCH, TACTILE, SPST-NO, 50mA, SMD","SW102","BOOT/USR","C&K","KMR641NG","Mouser","http://www.mouser.com/ProductDetail/CK-Components/KMR641NG-ULC-LFS/?qs=%2fha2pyFaduh0p7wT%2fIpKGZcBAQiO87MNxooxrDdNjhM%3d","611-KMR641NGULCLFS"
"1","LQFP-64","ARM Microcontrollers - MCU STM32 Dyn Eff MCU 256 K 100 MHz CPU","U101","STM32F411RCT6","ST","STM32F411RCT6","Mouser","http://www.mouser.com/ProductDetail/STMicroelectronics/STM32F411RCT6/?qs=%2fha2pyFadujxcn39gZUbxVtMFD%2fcoTlsIQk%2f%252bP0ZA3gOnm7I0MeXTw%3d%3d","511-STM32F411RCT6"
"1","VQFN-32","Multiprotocol Fully Integrated 13.56-MHz RFID and Near Field Communication  (NFC) Transceiver IC","U102","TRF7970A","TI","TRF7970ARHBR","Mouser","http://www.mouser.com/ProductDetail/Texas-Instruments/TRF7970ARHBR/?qs=sGAEpiMZZMvQHWqrh58LgTfHkh4MMmPXotGK4aS7beI%3d","595-TRF7970ARHBR"
"1","TSOP-6","USB Filter with ESD  Protection","U103","STF202","ON Semi","STF202-22T1G","Mouser","http://www.mouser.com/ProductDetail/ON-Semiconductor/STF202-22T1G/?qs=%2fha2pyFadujRFaXPnV9RsTetlaFPPaXSz4EERle60zyiot5T0fRtTg%3d%3d","511-STM32F411RCT6"
"1","TDFN-6","3.3V, 500A, Low-Voltage, Low-Dropout Regulator","U104","MIC5528","Microchip","MIC5528-3.3YMT","Mouser","http://www.mouser.com/ProductDetail/Microchip-Technology-Micrel/MIC5528-33YMT-TR/?qs=sGAEpiMZZMsGz1a6aV8DcNranXV84HMLabvM9ds%2f6%252bc%3d","998-MIC5528-3.3YMTTR"
"1","SMD/SMT","CRYSTAL 32.768KHz 6pF 20PPM SMD","Y101","32.768kHz","Abracon","ABS07-120-32.768kHz-T","Mouser","http://www.mouser.com/ProductDetail/ABRACON/ABS07-120-32768kHz-T/?qs=%2fha2pyFadujPcmOfQpjQ%252bVA2EKtsluzx9it6%2fzxAShUZHDu5I7oqZsKdy5DB9VBz","815-ABS0712032.768KT"
"1","SMD/SMT","CRYSTAL 8MHZ 18PF SMD","Y102","8MHz","Abracon","ABM3B-8.000MHZ-B2-T","Mouser","http://www.mouser.com/ProductDetail/ABRACON/ABM3B-8000MHZ-B2-T/?qs=%2fha2pyFaduji7NL2VAos562EZje1%252bgIMKWxOcp2Dbkt7as9m11EZweSXFCl7PBOc","815-ABM3B-8.0-B2-T"
"1","SMD/SMT","CRYSTAL 13.56MHZ 12PF SMD","Y103","13.56MHz","AVX","CX2520DB13560H0FLJC1","Mouser","http://www.mouser.com/ProductDetail/AVX/CX2520DB13560H0FLJC1/?qs=%2fha2pyFaduiKYWBq4wWUkSYmsYpH%252bUPjFKni%2f3G4nf7GNyyHZgi0qSCjuUfisCAZ","581-CX2520DB13560HLJ"
